Id_Texto,id-msg,texto-proposto
1176,1207,"Exames médicos e medicamentos podem ser obtidos pelo SUS. Converse com o médico sobre exames de sangue, ultrassonografias e remédios para toda a gravidez"
1076,812,Você pode andar de carro e até dirigir. Mas é essencial que sempre use o cinto de segurança de três pontos.
1199,1270,"A expressão ""barriga baixa"" indica que o bebê já encaixou a cabecinha. O momento tão esperado está chegando!"
1377,1653,"A lei garante a você vários direitos, busque-os no RH de sua empresa. Eles existem para proteger a sua saúde e a do bebê que está chegando. "
1076,814,"A lei não a proíbe de dirigir. Mas você deve seguir rigorosamente todas as leis de tráfego, a começar pelo uso do cinto de segurança."
1382,1662,"A maternidade pode não ser o local mais adequado para receber visitas, você precisa descansar após o parto. Você pode receber visitas depois da alta."
1364,1627,"A notícia da gravidez pode assustar no começo. É de fato uma grande responsabilidade. Mas confie em você, relaxe e curta esse momento especial!"
1391,1679,A rotina familiar precisa se adaptar à chegada do bebê e ele também tem que se enquadrar à vida em família. Estimule todos a conviverem e  participar.
1367,1633,"A sonolência, a fraqueza e as náuseas do primeiro trimestre tendem a desaparecer agora. Cuide-se bem e curta a gravidez com mais disposição e energia."
1139,1080,Acidentes e violência matam mais crianças do que doenças. Prevenção contra acidentes e denúncia de maus-tratos podem evitar essa tragédia.
1337,1573,Amamentação sem dor é fácil. Converse com seu médico sobre como aumentar a resistência dos mamilos e posicionar corretamente o bebê.
1378,1654,"Antigamente se recomendava pôr o bebê para dormir de lado. Hoje já se sabe que é mais seguro de barriga pra cima. A medicina avança, fique atenta!"
1085,864,"Ao trocar a fralda, fale, cante, brinque e faça carinho em seu bebê: você transforma a rotina numa diversão e ajuda o cérebro dele a se desenvolver."
1085,863,"Após a 25ª semana, seu bebê já ouve e reconhece a sua voz! Conte histórias, leia livros, converse sempre com ele."
1311,1485,"Assim que nasce, todo bebê é levado pelos médicos para fazer exames. Faz parte da rotina do parto uma checagem completa de suas condições de saúde."
1213,1299,Atingir oito horas diárias de sono durante a gestação nem sempre é fácil. Compense tirando uma soneca curta durante o dia.
1205,1282,"Aumento de secreção vaginal na gravidez é normal. Para se sentir mais confortável e prevenir infecções, use sabonete neutro e roupas de algodão."
1199,1271,"Barriga baixa, cabeça encaixada... conheça o significado exato dessas expressões. Elas indicam que você está na reta final da gravidez."
1050,716,"Bebê pode não se sentir acolhido e amado, tendendo a ficar inseguro e medroso. Por isso, não economize no carinho!"
1031,628,"Bebês precisam de um ambiente limpo e simples. Compre apenas os itens que realmente necessários, para evitar desperdícios."
1144,1098,"Bebês que nasceram no tempo certo e estão saudáveis podem viajar de avisão, mas é melhor esperar pelo menos até os 3 meses de idade."
1404,1707,"Bebês se desenvolvem muito rápido. Quando menos se espera, ele vai surpreender com novas capacidades que podem colocá-lo em perigo. Atenção!"
1023,603,Caminhar e fazer hidroginástica são ótimas opções para manter uma rotina ativa na gestação. Confirme com seu médico antes de começar.
1366,1630,Cesariana não é uma questão de preferência ou conveniência. Ela só deve ocorrer nos casos em que o parto normal represente risco à mãe ou ao bebê.  
1086,868,"Chame o papai para conversar com o bebê na barriga, ele consegue ouvir! E assim, o vínculo entre eles vai ficando cada vez mais forte."
1176,1209,"Coloque no orçamento o custo de consultas com seu especialista, ou busque ajuda pelo SUS, se você tem uma doença crônica. Vai precisar acompanhar isso na gravidez"
1373,1644,Com 20 semanas de gestação seu filho já tem os órgãos vitais quase prontos. Ele já se movimenta no útero e suga o dedinho.
1373,1645,"Com cerca de 600 gramas e 30 centímetros, na 24ª semana de gestação o bebê está quase todo formado. Os cabelos começam a nascer."
1188,1247,"Com enfeites simples e baratos, o quartinho do bebê pode ficar gostoso e acolhedor. Evite excesso de tapetes, cortinas e objetos que juntem poeira."
1142,1090,"Com o bebê no carro, dirija com cuidado ainda maior para não se envolver em acidentes. E sempre verifique o cinto de segurança antes de sair."
1037,659,Com um bebê a caminho é importante repensar as prioridades da família e investir apenas no que é essencial. Evite gastos desnecessários.
980,1513,"Comer bem na gravidez nem sempre é ""comer por dois"". Um prato equilibrado, que inclua verduras e legumes, é o caminho para uma gestação saudável"
1177,1214,"Compre poucas roupas cheias de detalhes e mais roupas de malha, que são as mais confortáveis para os bebês e  sempre as mais baratas"
1182,1227,"Concentre os gastos nos itens essenciais: carrinho, berço, bebê-conforto de automóvel e banheira. E confira se alguém pode doar algum desses itens."
1191,1253,"Controle o dinheiro, anotando os gastos diários da família. Com as contas em dia, você ficará mais despreocupada e tranquila para curtir o bebê."
1195,1263,"Converse bastante com seu médico sobre  suas dúvidas e decisões. O obstetra tem que ser parceiro e respeitar as suas escolhas. Senão, troque de médico!"
1202,1276,"Converse com seu médico sobre exercícios que ajudem a evitar a episiotomia, o corte feito entre a vagina e o ânus para facilitar a saída do bebê."
1075,806,"Cuidado com a água que você bebe. Beba sempre água filtrada, fervida ou mineral."
1345,1589,"Cuidado com o diabetes gestacional.  Se você tem diabetes na família, pressão alta, obesidade ou usa corticóides faça exames regularmente."
1039,671,"Cuidar do bebê é muito mais do que trocar fraldas: para que ele se desenvolva bem, é preciso dar amor e um ambiente acolhedor e tranquilo."
1201,1275,"Cuide de seus dentes também durante a gravidez. Sem tratamento, alguns problemas odontológicos podem afetar seu bebê."
