Id_Texto,id-msg,texto-proposto
1176,1207,"Exames médicos e medicamentos podem ser obtidos pelo SUS. Converse com o médico sobre exames de sangue, ultrassom e remédios para toda a gravidez"
1076,812,Você pode andar de carro e até dirigir. Mas é essencial que sempre use o cinto de segurança de três pontos.
1341,1581,"A amamentação ajuda a regular hormônios que, por sua vez, ajudam a prevenir câncer de mama, de ovário e de útero."
1035,646,A chegada do bebê aumenta as despesas com o supermercado. Fique atenta às promoções nos mercados próximos e economize.
1216,1305,"A diarreia exige sempre cuidado, pois pode fragilizar a saúde do bebê e provocar desidratação."
1140,1085,A educação do seu bebê é sua. Não abra mão disso se você precisar ter ajuda para cuidar do bebê.
1199,1270,"A expressão ""barriga baixa"" indica que o bebê já encaixou a cabecinha. O momento tão esperado está chegando!"
1309,1481,A higiene bucal é indispensável antes mesmo do primeiro dentinho. Cuidando desde já você pode evitar a disseminação de bactérias e cáries futuras.
1317,1497,"A infância é decisiva para o desenvolvimento do cérebro e o seu papel é essencial para estimulá-lo: converse, acaricie e brinque com o seu bebê. "
1143,1096,"A ingestão de produtos como soda cáustica, bateria pastilha, amônia e outros corrosivos causa queimadura química. Leve o bebê a um hospital!"
1377,1653,"A lei garante a você vários direitos, busque-os no RH de sua empresa. Eles existem para proteger a sua saúde e a do bebê que está chegando. "
1076,814,"A lei não a proíbe de dirigir. Mas você deve seguir rigorosamente todas as leis de tráfego, a começar pelo uso do cinto de segurança."
1382,1662,"A maternidade pode não ser o local mais adequado para receber visitas, você precisa descansar após o parto. Você pode receber visitas depois da alta."
1239,1352,"À medida que o bebê cresce, suas necessidades e interesses pessoais voltam a ganhar importância. Tenha sempre um tempo para você mesma."
1252,1376,A melhor disciplina é a que mostra imediatamente o certo e o errado. Castigos longos não são eficazes.  Seja direta e breve ao repreender o bebê.
1364,1627,"A notícia da gravidez pode assustar no começo. É de fato uma grande responsabilidade. Mas confie em você, relaxe e curta esse momento especial!"
1174,1202,"A partir do quatro mês, quando o bebê começa a experimentar as primeiras papinhas, programe-se para as compras semanais de frutas e legumes."
1327,1554,"A primeira visão do bebê talvez surpreenda: ele estará sujinho, roxinho e inchadinho, isso é normal!"
1221,1314,"A prisão de ventre costuma se resolver com mudanças de dieta. Mas, se houver sangue na fralda, procure o médico."
1391,1679,A rotina familiar precisa se adaptar à chegada do bebê e ele também tem que se enquadrar à vida em família. Estimule todos a conviverem e  participar.
1367,1633,"A sonolência, a fraqueza e as náuseas do primeiro trimestre tendem a desaparecer agora. Cuide-se bem e curta a gravidez com mais disposição e energia"
1139,1080,Acidentes e violência matam mais crianças do que doenças. Prevenção contra acidentes e denúncia de maus-tratos podem evitar essa tragédia.
1214,1301,"Alguns são tagarelas; outros, mais quietinhos, mas todo bebê começa a falar em seu segundo ano. Se houver sinais de problemas, consulte um médico."
1137,1073,"Alguns segundos de descuido são suficientes para o bebê sofrer um acidente. Em casa ou na rua, fique de olho!"
1337,1573,Amamentação sem dor é fácil. Converse com seu médico sobre como aumentar a resistência dos mamilos e posicionar corretamente o bebê.
1343,1585,"Amamentar alimenta melhor, ajuda a prevenir doenças e ainda fortalece seu vínculo afetivo com seu bebê."
1025,611,"Andadores são totalmente contraindicados pelos pediatras, porque podem provocar quedas e machucados graves, principalmente na cabeça."
1256,1384,"Antes de achar que seu bebê é hiperativo, conheça melhor os sintomas e converse com seu médico. Se for o caso, procure um especialista."
1259,1391,"Antes de arrumar um animal de estimação, pense nos prós e contras, para não ter que dispensar o bichinho depois que todos já se apegaram a ele."
1378,1654,"Antigamente se recomendava pôr o bebê para dormir de lado. Hoje já se sabe que é mais seguro de barriga pra cima. A medicina avança, fique atenta!"
1261,1395,"Ao estabelecer limites, seja coerente. As regras devem ter motivos justos e claros.  Assim, o bebê compreenderá o que pode e o que não pode fazer."
1149,1117,"Ao preparar as refeições na cozinha, mantenha o bebê onde você possa vê-lo, mas longe do fogão. Os riscos de acidente são altos."
995,489,"Ao procurar uma creche, veja se a rotina inclui brincadeiras, inclusive ao ar livre. Seu bebê precisa de brincadeira e espaço para se desenvolver."
1383,1664,"Ao sair da maternidade, você deve transportar o bebê com segurança, em assento adequado, com cinto. Prepare-o antes e peça ajuda à sua família."
1085,864,"Ao trocar a fralda, fale, cante, brinque e faça carinho em seu bebê: você transforma a rotina numa diversão e ajuda o cérebro dele a se desenvolver."
1085,863,"Após a 25ª semana, seu bebê já ouve e reconhece a sua voz! Conte histórias, leia livros, converse sempre com ele."
1266,1404,"Aprenda com a experiência dos mais velhos, mas fique atenta às novas descobertas da ciência que ajudam você a cuidar do seu bebê."
1271,1415,Aprender a andar pode levar o bebê a usar as pontas dos pés durante um tempo. Se ele continua com esse hábito é bom procurar a causa.
1115,974,Aproveite os momentos em que o bebê está acordado para se comunicar e brincar com ele.  Ele vai se divertir e se desenvolver mais e melhor.
985,446,"Arrume um ambiente amplo e seguro para seu bebê dar os primeiros passos. Assim, se ele cair, não se machucará e tentará de novo."
1302,1471,As cólicas dos primeiros meses exigem tranquilidade dos pais. Elas maltratam o bebê e parecem não ter fim. Mas para alguns bebês elas nem aparecem!
1409,1720,"As crianças aprendem mais pelo exemplo do que pelas palavras. Se você grita com seu bebê, está ensinando ele a gritar com você. "
1374,1647,"As crianças observam e comparam tudo o que lhes é dito. Mães, pais e avós devem combinar entre si o melhor modo de cuidar dos bebês."
1311,1485,"Assim que nasce, todo bebê é levado pelos médicos para fazer exames. Faz parte da rotina do parto uma checagem completa de suas condições de saúde."
1213,1299,Atingir oito horas diárias de sono durante a gestação nem sempre é fácil. Compense tirando uma soneca curta durante o dia.
1205,1282,"Aumento de secreção vaginal na gravidez é normal. Para se sentir mais confortável e prevenir infecções, use sabonete neutro e roupas de algodão."
1199,1271,"Barriga baixa, cabeça encaixada... Essas expressões indicam que você está na reta final da gravidez."
1158,1154,"Bater a cabeça nem sempre é grave. Mas observe as reações do bebê. Se ele vomitar, leve-o logo ao médico."
1412,1727,"Bater numa criança não vai gerar consciência nem aprendizado. Vai, apenas, estimular sentimentos como medo, raiva e mágoa."
1329,1558,"Bater, morder e empurrar os amiguinhos não pode... Se o seu bebê vem agindo com violência na creche, avalie o que está acontecendo com ele e corrija."
1282,1434,Bebê doente na escolinha exige atenção especial para não contaminar outras crianças nem piorar. Melhor é tratar dele em casa.
1307,1478,"Bebê manhoso e choroso, babando e com a mão na boca o tempo todo pode estar incomodado com um dente nascendo."
1050,716,"Bebê pode não se sentir acolhido e amado, tendendo a ficar inseguro e medroso. Por isso, não economize no carinho!"
1242,1358,"Bebê que acorda à noite compromete a rotina da família e seu próprio desenvolvimento. Para checar como ele está, não acenda a luz e evite movimentos bruscos e ruídos."
1141,1087,Bebê-conforto deve ser utilizado somente para transportar o bebê. Não é lugar adequado para ele dormir.
1154,1139,Bebês levam tudo à boca; nunca deixe seu bebê no quintal brincando sozinho.
1031,628,"Bebês precisam de um ambiente limpo e simples. Compre apenas os itens que realmente necessários, para evitar desperdícios."
978,1523,"Bebês preferem líquidos em temperatura ambiente; você não precisa esquentar o leite ou chá. Assim, previne o risco de queimaduras."
1144,1098,"Bebês que nasceram no tempo certo e estão saudáveis podem viajar de avisão, mas é melhor esperar pelo menos até os 3 meses de idade."
1404,1707,"Bebês se desenvolvem muito rápido. Quando menos se espera, ele vai surpreender com novas capacidades que podem colocá-lo em perigo. Atenção!"
1237,1347,Bons estímulos são importantes para um desenvolvimento saudável. Proponha novas brincadeiras e a convivência com outras crianças.
989,465,"Brincar estimula o desenvolvimento do bebê. Mas não force a barra! Se perceber que ele está desinteressado, deixe-o descansar."
1023,603,Caminhar e fazer hidroginástica são ótimas opções para manter uma rotina ativa na gestação. Confirme com seu médico antes de começar.
1380,1658,"Cansaço, falta de sono e alterações hormonais podem fazer você se sentir desanimada e triste após o parto. É comum! Se não passar, procure o médico."
1366,1630,Cesariana não é uma questão de preferência ou conveniência. Ela só deve ocorrer nos casos em que o parto normal represente risco à mãe ou ao bebê.  
1324,1547,Chacoalhar o bebê num momento de irritação pode causar danos ao cérebro e até custar a vida dele. Jamais faça isso.
1086,868,"Chame o papai para conversar com o bebê na barriga, ele consegue ouvir! E assim, o vínculo entre eles vai ficando cada vez mais forte."
1301,1470,"Choro? É fome. Choro? É frio. Choro? É cólica. Choro? É colo. O choro é a linguagem do bebê. Prestando atenção, você saberá decifrá-lo."
1268,1408,"Clima frio e seco favorece problemas respiratórios causados por vírus, bactérias e alergias. Mantenha o bebê hidratado e use soro para limpar o nariz"
1216,1304,Cocô mole nem sempre é sinal de diarreia. Mas diarreia é sempre sinal de problema: pode ser uma infecção ou outra doença.
1407,1716,"Colocando uma cerca em volta da piscina, isolando-a da casa, você pode reduzir muito o risco de afogamento."
1176,1209,"Se voce tem uma doença crônica considere o custo de consultas com seu especialista, ou busque ajuda pelo SUS. Vai precisar acompanhar isso na gravidez"
989,466,Coloque o bebê para brincar no chão. Forre o espaço com um tapete e espalhe ali alguns brinquedos. Ele vai adorar!
1265,1403,"Com 18 meses, alguns marcos de comportamento e coordenação motora ajudam a avaliar como vai o desenvolvimento do bebê"
1373,1644,Com 20 semanas de gestação seu filho já tem os órgãos vitais quase prontos. Ele já se movimenta no útero e suga o dedinho.
1373,1645,"Com cerca de 600 gramas e 30 centímetros, na 24ª semana de gestação o bebê está quase todo formado. Os cabelos começam a nascer."
1188,1247,"Com enfeites simples e baratos, o quartinho do bebê pode ficar gostoso e acolhedor. Evite excesso de tapetes, cortinas e objetos que juntem poeira."
1142,1090,"Com o bebê no carro, dirija com cuidado ainda maior para não se envolver em acidentes. E sempre verifique o cinto de segurança antes de sair."
1320,1503,"Com o fim do desmame, é preciso cuidado com a alimentação do bebê. Novos alimentos podem provocar alergia. Fique atenta."
1037,659,Com um bebê a caminho é importante repensar as prioridades da família e investir apenas no que é essencial. Evite gastos desnecessários.
1305,1475,"Combine com todos as mudanças de rotina em casa. Não é preciso alterar tudo em nome da tranquilidade do bebê, mas ele agradece algumas mudanças."
980,1513,"Comer bem na gravidez nem sempre é ""comer por dois"". Um prato equilibrado, que inclua verduras e legumes, é o caminho para uma gestação saudável"
1177,1214,"Compre poucas roupas cheias de detalhes e mais roupas de malha, que são as mais confortáveis para os bebês e sempre mais baratas"
1182,1227,"Concentre os gastos nos itens essenciais: carrinho, berço, bebê-conforto de automóvel e banheira. E confira se alguém pode doar algum desses itens."
1288,1446,Conheça os métodos anticoncepcionais mais seguros para você e para o bebê durante a amamentação.
1191,1253,"Controle o dinheiro, anotando os gastos diários da família. Com as contas em dia, você ficará mais despreocupada e tranquila para curtir o bebê."
1195,1263,"Converse bastante com seu médico sobre  suas dúvidas e decisões. O obstetra tem que ser parceiro e respeitar as suas escolhas. Senão, troque de médico!"
1202,1276,"Converse com seu médico sobre exercícios que ajudem a evitar a episiotomia, o corte feito entre a vagina e o ânus para facilitar a saída do bebê."
